step,nav_mode,pose_x_m,pose_y_m,pose_theta_deg,frontier_goal_x,frontier_goal_y,frontier_goal_dist,frontier_goal_cell,frontier_candidate_count,frontier_candidates,path_length,path_first_x,path_first_y,icp_pose_x,icp_pose_y,icp_pose_theta_deg,icp_rmse,icp_num_points
1,UNKNOWN,0.2957106781186548,0.2957106781186548,2.7263109939062624,0.675,0.225,0.38582429899270304,1:0,2,0:1;1:0,11,0.24,0.24,0.22500000000000006,0.22500000000000006,45.0,8.160537827410014e-17,360
2,UNKNOWN,0.3955974918910984,0.30046719306019976,350.80843663021744,0.675,0.225,0.28941502857648965,1:0,2,0:1;1:0,11,0.24,0.24,0.29571067811865465,0.2957106781186548,2.7263109939062655,1.952310341311957e-16,360
3,UNKNOWN,0.49431347153037625,0.2844936097471894,348.39345704333044,0.675,0.225,0.1902291017987391,1:0,2,0:1;1:0,11,0.24,0.24,0.3955974918910984,0.30046719306019976,350.80843663021744,7.430505761364642e-17,360
4,UNKNOWN,0.5922686996194185,0.2643746313928167,145.21742679172542,0.225,0.675,0.5509078789270706,0:1,2,0:1;1:0,18,0.69,0.24,0.49431347153037636,0.28449360974718946,348.39345704333044,1.3639258350312508e-16,360
5,UNKNOWN,0.5101364239721005,0.3214210098667647,162.5092361571854,0.225,0.675,0.4542255855180727,0:1,2,0:1;1:0,18,0.69,0.24,0.5922686996194187,0.2643746313928167,145.21742679172542,2.211503325496096e-16,360
6,UNKNOWN,0.41475988271828035,0.35147621538025836,153.663472211594,0.225,0.675,0.3750685967978878,0:1,2,0:1;1:0,18,0.69,0.24,0.5101364239721006,0.32142100986676475,162.5092361571854,1.3696569841459968e-16,360
7,UNKNOWN,0.3251395050220647,0.39584047916979603,117.30464120801572,0.225,0.675,0.2965770701457097,0:1,2,0:1;1:0,11,0.24,0.24,0.4147598827182802,0.35147621538025836,153.663472211594,1.7928087139921685e-16,360
8,UNKNOWN,0.27926735153699395,0.4846984868823376,62.20539006706443,0.675,1.125,0.7527219651108323,1:2,4,1:2;1:1;0:1;1:0,23,0.24,0.24,0.3251395050220647,0.3958404791697959,117.30464120801572,1.0634600086384094e-16,360
9,UNKNOWN,0.3258976937206503,0.5731609715175494,48.44630300672738,0.675,1.125,0.6529921390078259,1:2,4,1:0;1:2;1:1;0:1,17,0.24,0.69,0.2792673515369939,0.48469848688233746,62.20539006706443,1.3452644166153144e-16,360
10,UNKNOWN,0.3922298607632952,0.647994410670288,44.051976361708995,1.125,1.125,0.8743491346188693,2:2,5,2:2;1:0;1:2;1:1;0:1,23,0.24,0.69,0.32589769372065014,0.5731609715175493,48.446303006727376,2.054574527809871e-16,360
11,UNKNOWN,0.46410079467263504,0.7175254746561016,43.22914554125682,1.125,1.125,0.7764169294950863,2:2,5,2:2;1:0;1:2;1:1;0:1,23,0.24,0.69,0.3922298607632951,0.6479944106702881,44.05197636170899,1.0897399161216843e-16,360
12,UNKNOWN,0.5369628260553951,0.7860172579791959,43.705171982582975,1.125,1.125,0.6787466517992561,2:2,5,2:2;0:1;1:0;1:2;1:1,17,0.69,0.69,0.46410079467263493,0.7175254746561017,43.229145541256806,1.065223567488061e-16,360
13,UNKNOWN,0.6092533038858319,0.8551120248942603,43.853887416645115,1.125,1.125,0.5820946432147924,2:2,5,2:2;0:1;1:0;1:2;1:1,17,0.69,0.69,0.5369628260553949,0.7860172579791957,43.70517198258296,3.2971081932332723e-16,360
14,UNKNOWN,0.6813641978284778,0.9243941941356497,29.745813983172194,1.125,1.125,0.4868833682873706,2:2,5,0:3;2:2;1:0;1:2;1:1,17,0.69,0.69,0.6092533038858321,0.8551120248942604,43.85388741664511,2.809100666992193e-16,360
15,UNKNOWN,0.7681877043923482,0.9740095013296355,31.013576277921192,1.125,1.125,0.3874443766342824,2:2,5,0:3;1:0;1:1;2:2;1:2,11,0.69,1.14,0.6813641978284778,0.9243941941356499,29.745813983172187,2.350888126448764e-16,360
16,UNKNOWN,0.8538922281905553,1.0255336180180614,24.057717793510413,1.125,1.125,0.2887784359678867,2:2,5,0:3;1:0;1:1;2:2;1:2,11,0.69,1.14,0.7681877043923482,0.9740095013296353,31.013576277921192,2.220446049250313e-16,360
17,UNKNOWN,0.9452057543615688,1.0662992890933134,21.805427209365128,1.125,1.125,0.18913419634122994,2:2,5,0:3;1:0;2:1;2:2;1:2,11,0.69,1.14,0.8538922281905554,1.0255336180180614,24.057717793510413,1.4546322670123343e-16,360
18,UNKNOWN,1.0380508189377382,1.103444867347622,300.83636909865936,1.125,0.675,0.4371786413400355,2:1,5,0:3;1:0;1:2;2:1;2:2,11,1.14,1.14,0.945205754361569,1.0662992890933136,21.805427209365124,1.5902722598807227e-16,360
19,UNKNOWN,1.0893096184883722,1.0175813974164112,285.66923139550784,1.125,0.675,0.34443550512138926,2:1,5,0:3;1:0;1:2;2:1;2:2,11,1.14,1.14,1.0380508189377387,1.1034448673476223,300.83636909865936,4.3277100618250866e-16,360
20,UNKNOWN,1.1163179613445595,0.921297705047648,280.349004604758,1.125,0.675,0.2464506792584527,2:1,5,0:3;1:0;1:2;2:1;2:2,11,1.14,1.14,1.0893096184883722,1.0175813974164112,285.66923139550784,1.0723711850822113e-16,360
21,UNKNOWN,1.134282327176865,0.8229245300442808,275.8460111598411,1.125,0.675,0.1482154789036546,2:1,5,0:3;1:0;1:2;2:1;2:2,11,1.14,1.14,1.1163179613445602,0.9212977050476481,280.349004604758,6.664002067026408e-16,360
22,UNKNOWN,1.1444678471485377,0.7234446065274894,138.11033038597836,0.675,0.225,0.6847240942763928,1:0,5,0:3;1:0;1:2;2:2;2:1,40,1.14,0.69,1.1342823271768652,0.8229245300442808,275.8460111598411,2.220446049250313e-16,360
23,UNKNOWN,1.0700246527645088,0.7902144411079471,90.80861610469437,1.125,1.125,0.3392693019510121,2:2,5,0:3;1:0;1:2;2:2;2:1,11,1.14,0.69,1.1444678471485374,0.7234446065274892,138.11033038597836,3.1401849173675503e-16,360
24,UNKNOWN,1.068613398272715,0.8902044824158666,78.68719542492238,1.125,1.125,0.24147129007803922,2:2,5,0:3;1:0;1:2;2:2;2:1,11,1.14,0.69,1.0700246527645092,0.7902144411079474,90.80861610469437,5.054154217290684e-16,360
25,UNKNOWN,1.0882299271794307,0.9882615667782516,74.05111496164632,1.125,1.125,0.14159603587377903,2:2,5,0:3;1:0;1:2;2:2;2:1,11,1.14,0.69,1.0686133982727148,0.8902044824158661,78.6871954249224,4.842524074503873e-16,360
26,UNKNOWN,1.1157078953044777,1.0844122883965472,156.45521668266124,0.675,1.125,0.4425729446282358,1:2,5,0:3;1:0;1:2;2:1;2:2,11,1.14,1.14,1.0882299271794311,0.9882615667782518,74.05111496164632,4.4017143585791537e-16,360
27,UNKNOWN,1.02403308275418,1.1243588620151665,168.60094889204748,0.675,1.125,0.3490336716060526,1:2,5,0:3;1:0;1:2;2:1;2:2,11,1.14,1.14,1.1157078953044777,1.0844122883965472,156.45521668266124,1.9948062888129226e-17,360
28,UNKNOWN,0.9260056379593877,1.144122972594802,176.84801871071852,0.675,1.125,0.2517330299509001,1:2,5,0:3;1:0;1:2;2:1;2:2,11,1.14,1.14,1.0240330827541795,1.1243588620151665,168.60094889204748,4.763109611139712e-16,360
29,UNKNOWN,0.8261569182918718,1.1496214433601952,181.00084431575493,0.675,1.125,0.15314904315938407,1:2,5,0:3;1:0;1:2;2:1;2:2,11,1.14,1.14,0.9260056379593874,1.1441229725948014,176.84801871071852,5.072521814153931e-16,360
30,UNKNOWN,0.7261721745051115,1.1478747293321092,176.87604673589942,0.225,1.5750000000000002,0.658490353263661,0:3,5,0:3;1:0;2:1;2:2;1:2,18,0.69,1.14,0.8261569182918718,1.1496214433601952,181.00084431575493,7.679567253250776e-17,360
31,UNKNOWN,0.6263207770353213,1.1533243553128527,175.769732103855,0.225,1.5750000000000002,0.5821243126708895,0:3,5,0:3;1:0;2:1;2:2;1:2,18,0.69,1.14,0.7261721745051114,1.147874729332109,176.87604673589942,2.4768084419386897e-16,360
32,UNKNOWN,0.5265932122157135,1.1607008595764545,169.4131716985749,0.225,1.5750000000000002,0.5124473079354416,0:3,5,0:3;1:0;2:1;2:2;1:2,18,0.69,1.14,0.6263207770353213,1.1533243553128525,175.769732103855,2.220446049250313e-16,360
33,UNKNOWN,0.42829545104960937,1.1790733974994398,149.58637159397034,0.225,1.5750000000000002,0.445069561962061,0:3,5,0:3;1:0;2:1;2:2;1:2,18,0.69,1.14,0.5265932122157136,1.1607008595764547,169.4131716985749,2.800614811092653e-16,360
34,UNKNOWN,0.34205612311601996,1.2296972882780322,117.55105456269945,0.225,1.5750000000000002,0.36460402998526686,0:3,5,1:0;2:1;2:2;0:3;1:2,11,0.24,1.14,0.42829545104960937,1.17907339749944,149.58637159397034,2.7356672633822623e-16,360
35,UNKNOWN,0.29580224124095245,1.318357191342988,108.2056290741334,0.225,1.5750000000000002,0.2662301421704572,0:3,5,1:0;2:1;2:2;0:3;1:2,11,0.24,1.14,0.3420561231160202,1.2296972882780326,117.55105456269945,4.820426359632164e-16,360
36,UNKNOWN,0.2645594164567039,1.4133513274751766,31.03112724484735,1.125,1.5750000000000002,0.8754931702402741,2:3,4,1:0;2:1;2:3;2:2,25,0.24,1.14,0.29580224124095245,1.3183571913429881,108.2056290741334,2.220446049250313e-16,360
37,UNKNOWN,0.35024815325548597,1.4649016949406857,32.673324236693205,1.125,1.5750000000000002,0.7825356610474495,2:3,4,1:0;2:1;2:2;2:3,19,0.24,1.5899999999999999,0.2645594164567039,1.4133513274751763,31.03112724484735,2.220446049250313e-16,360
38,UNKNOWN,0.4344243748320672,1.51888654208403,20.21395567806274,1.5750000000000002,1.5750000000000002,1.141955111589991,3:3,4,1:0;2:1;2:2;3:3,28,0.24,1.5899999999999999,0.35024815325548586,1.4649016949406855,32.673324236693205,2.4935432278880125e-16,360
39,UNKNOWN,0.5282652638085333,1.5534392200715108,13.100672775276934,1.5750000000000002,1.5750000000000002,1.0469567685348542,3:3,4,1:0;2:1;2:2;3:3,28,0.24,1.5899999999999999,0.4344243748320672,1.5188865420840298,20.21395567806274,2.528846659381606e-16,360
40,UNKNOWN,0.6256625943925016,1.5761054944702115,5.771325393844726,1.5750000000000002,1.5750000000000002,0.9493380492762312,3:3,4,1:0;2:1;2:2;3:3,28,0.24,1.5899999999999999,0.5282652638085332,1.5534392200715108,13.100672775276934,1.0581149627224412e-16,360
41,UNKNOWN,0.7251557103429591,1.5861613324993775,2.5309703213080996,1.5750000000000002,1.5750000000000002,0.8499175795368881,3:3,4,1:0;2:1;2:2;3:3,28,0.24,1.5899999999999999,0.6256625943925016,1.576105494470212,5.771325393844727,4.441974662887411e-16,360
42,UNKNOWN,0.8250581601297803,1.590577272556908,0.6985311686619943,1.5750000000000002,1.5750000000000002,0.750103602583165,3:3,4,1:0;2:1;2:2;3:3,28,0.24,1.5899999999999999,0.7251557103429592,1.5861613324993775,2.530970321308099,1.1197241024512594e-16,360
43,UNKNOWN,0.9250507283824017,1.5917964092370533,359.89497983465066,1.5750000000000002,1.5750000000000002,0.6501662672267037,3:3,4,1:0;2:1;2:2;3:3,28,0.24,1.5899999999999999,0.8250581601297804,1.5905772725569083,0.6985311686619943,2.4832236503174345e-16,360
44,UNKNOWN,1.0250505603975906,1.591613114573055,359.67319958903204,1.5750000000000002,1.5750000000000002,0.5502003105186527,3:3,4,1:0;2:1;2:2;3:3,28,0.24,1.5899999999999999,0.925050728382401,1.5917964092370527,359.89497983465066,9.418616507098068e-16,360
45,UNKNOWN,1.1250489337676934,1.591042743348858,359.70654385401355,1.5750000000000002,1.5750000000000002,0.45023697273518865,3:3,4,1:0;2:1;2:2;3:3,28,0.24,1.5899999999999999,1.0250505603975901,1.5916131145730545,359.67319958903204,6.276947941228104e-16,360
46,UNKNOWN,1.2250476221411128,1.5905305679923782,359.8103052152698,1.5750000000000002,1.5750000000000002,0.35029682458060524,3:3,4,1:0;2:1;2:2;3:3,28,0.24,1.5899999999999999,1.1250489337676937,1.591042743348858,359.70654385401355,2.220446049250313e-16,360
47,UNKNOWN,1.325047074072256,1.5901994887404867,359.9034797636445,1.5750000000000002,1.5750000000000002,0.2504146354305446,3:3,4,1:0;2:1;2:2;3:3,28,0.24,1.5899999999999999,1.225047622141113,1.5905305679923785,359.8103052152698,3.1401849173675503e-16,360
48,UNKNOWN,1.4250469321791193,1.5900310292282434,359.95686078690994,1.5750000000000002,1.5750000000000002,0.15070452676862103,3:3,4,1:0;2:1;2:2;3:3,28,0.24,1.5899999999999999,1.3250470740722562,1.5901994887404864,359.9034797636445,9.483009559136373e-17,360
49,UNKNOWN,1.5250469038345962,1.5899557371048432,359.9892221234656,1.5750000000000002,1.5750000000000002,0.0521438959884978,3:3,4,1:0;2:1;2:2;3:3,28,0.24,1.5899999999999999,1.4250469321791195,1.5900310292282436,359.95686078690994,3.2115961112249794e-16,360
50,UNKNOWN,1.5900000139324921,1.5899435188120585,0.03904473902949616,1.5750000000000002,1.5750000000000002,0.021173312741781684,3:3,4,1:0;2:1;2:2;3:3,28,0.24,1.5899999999999999,1.525046903834596,1.5899557371048432,359.9892221234656,2.1495614404577122e-16,360
